time,D_u,D_v,D_w,D_q,D_r,desired_u,u,desired_theta,theta,desired_psi,psi,u_error,theta_error,psi_error,tau_{u},tau_{q},tau_{r}
3,-2.41964476343308,-5.05072058867724,-7.41839455617889,-3.75919882807015,-0.767191740818466,1,1.00088513733715,-0.349065850398866,-0.348500959364888,-2.0943951023932,-2.07934173490439,-0.000885137337149,-0.000564891033978,-0.015053367488809,16.1918148398399,-31.6252768039703,0.257740123197436
3.1,-1.04444662006852,-4.2485682561973,-7.12880907186974,-2.79279782514404,0.60175428119299,1,1.00331167852584,-0.349065850398866,-0.349594834724681,-2.0943951023932,-2.08102732866585,-0.003311678525839,0.000528984325815,-0.01336777372735,15.7586634159088,-29.2996466159821,0.377153581939638
3.2,0.289849359383375,-3.41788718045584,-6.79729408261392,-1.8319081740228,1.90175890070122,1,1.00219640686117,-0.349065850398866,-0.349465890557791,-2.0943951023932,-2.08190713074087,-0.002196406861174,0.000400040158925,-0.012487971652329,13.6900156736374,-30.5992841720581,-2.62331329286098
3.3,1.56513571317264,-2.56770516081305,-6.42631262139632,-0.889015991062307,3.11437688849795,1,1.00515527268416,-0.349065850398866,-0.349218963475764,-2.0943951023932,-2.08341533366877,-0.005155272684159,0.000153113076899,-0.010979768724427,13.2843062281609,-33.2421958446503,-2.38927211612463
3.4,2.76490353266239,-1.70713912321906,-6.01858605870523,0.023954191621251,4.22325959157528,1,1.00309488862276,-0.349065850398866,-0.349770590729661,-2.0943951023932,-2.08426320505311,-0.003094888622762,0.000704740330795,-0.010131897340086,11.0547438263893,-31.4441502094269,-6.18831291794777
3.5,3.87448960562821,-0.845289777049412,-5.57707362584486,0.895803521437826,5.2144040496792,1,1.00255720390505,-0.349065850398866,-0.34917682841635,-2.0943951023932,-2.08662686764711,-0.002557203905051,0.000110978017484,-0.007768234746087,10.2236017584801,-36.6160750389099,-2.2603390738368
3.6,4.88128289556434,0.00886238286682,-5.104950285542,1.71620984724854,6.07635274044058,1,1.00749240680298,-0.349065850398866,-0.350408961839854,-2.0943951023932,-2.08632422547243,-0.007492406802983,0.001343111440988,-0.008070876920768,10.4276038706303,-31.5243184566498,-7.68185034394264
3.7,5.77488704779421,0.84655847519372,-4.60558311873106,2.47586349624693,6.80034084253643,1,1.00431654255258,-0.349065850398866,-0.34915247300495,-2.0943951023932,-2.08736192129751,-0.004316542552584,8.66226060843855E-05,-0.007033181095689,7.83784836530685,-37.0723009109497,-5.95874413847923
3.8,6.54723655398612,1.65935882119163,-4.08250640706317,3.16658588551863,7.38038898855051,1,1.00867976449161,-0.349065850398866,-0.349686217723829,-2.0943951023932,-2.08755022186055,-0.008679764491609,0.000620367324963,-0.006844880532644,8.66798311471939,-34.2294931411743,-8.6269348859787
3.9,7.192665186107,2.43923557122204,-3.53939559995984,3.78142932791994,7.81334059032463,1,1.00355713476299,-0.349065850398866,-0.348899498771497,-2.0943951023932,-2.0886192510211,-0.003557134762985,-0.000166351627369,-0.005775851372099,6.0242734849453,-35.9041929244995,-5.72578012943268
4,7.70792630786427,3.17865928816617,-2.98004036285176,4.31475669582575,8.09884393660771,1,1.00563080435879,-0.349065850398866,-0.348341576377699,-2.0943951023932,-2.08775200932309,-0.00563080435879,-0.000724274021167,-0.006643093070104,6.97842240333557,-39.6266579627991,-9.74256992340088
4.1,8.09216566500373,3.87067849270992,-2.40831690955294,4.76229992931362,8.23928036277445,1,1.00426690551155,-0.349065850398866,-0.349393781153707,-2.0943951023932,-2.08817703541225,-0.00426690551155,0.000327930754841,-0.006218066980946,5.89386858046055,-34.3717217445374,-6.74519687891007
4.2,8.34684822440056,4.50899127287001,-1.82815982647349,5.12119671230066,8.23964085290921,1,1.0032428415403,-0.349065850398866,-0.348019115140379,-2.0943951023932,-2.08717428103816,-0.003242841540299,-0.001046735258487,-0.007220821355036,5.66931292414665,-38.971009850502,-10.1739659905434
4.3,8.475641555329,5.08800816819444,-1.24353359953909,5.39000498565988,8.10735443425523,1,1.00483274843033,-0.349065850398866,-0.348187548763661,-2.0943951023932,-2.0876408905963,-0.004832748430328,-0.000878301635205,-0.00675421179689,6.10492751002312,-39.9169445037842,-7.89838954806328
4.4,8.48425910537658,5.60290565629226,-0.658404056240574,5.56869531492155,7.85207264299537,1,1.00064992931579,-0.349065850398866,-0.349023304865946,-2.0943951023932,-2.08760368151843,-0.00064992931579,-4.25455329197133E-05,-0.006791420874765,4.86000254750252,-38.4530633687973,-7.20022022724152
4.5,8.38026750046524,6.04966969414644,-0.076709935175283,5.65862147629364,7.48541516050162,1,1.00385437128448,-0.349065850398866,-0.349180819987806,-2.0943951023932,-2.08676044895288,-0.003854371284476,0.00011496958894,-0.007634653440312,6.49246945977211,-39.8625493049622,-9.8060667514801
4.6,8.17286267754917,6.42512889736694,0.49766520623267,5.66246996295378,7.02068242473718,1,0.999305262301485,-0.349065850398866,-0.349804934848999,-2.0943951023932,-2.08756828102872,0.000694737698515,0.000739084450133,-0.006826821364475,5.07291331887245,-39.7603094577789,-7.00659155845642
4.7,7.8726202262146,6.72697707540669,1.06092053841641,5.58418943856047,6.47254159913092,1,0.999895716849432,-0.349065850398866,-0.350453980529418,-2.0943951023932,-2.08787319061201,0.000104283150568,0.001388130130552,-0.006521911781182,6.40202313661575,-39.7627264261246,-7.83156752586365
4.8,7.49122576057141,6.95378497800923,1.60936475817479,5.4289014716205,5.85669272048342,1,1.00065432610554,-0.349065850398866,-0.351113513528631,-2.0943951023932,-2.08880674406711,-0.000654326105544,0.002047663129765,-0.005588358326082,6.83679729700089,-37.1774166822433,-6.30910843610764
4.9,7.0411914572135,7.10500124598004,2.13944194278799,5.20279416796269,5.18952214081919,1,0.999739642226347,-0.349065850398866,-0.350566511885669,-2.0943951023932,-2.08953146118099,0.000260357773653,0.001500661486803,-0.004863641212206,6.93564265966415,-39.6552681922913,-8.21913778781891
5,6.53556507325925,7.18094269597697,2.64775627135796,4.9130005747196,4.48775052121119,1,1.00240264787204,-0.349065850398866,-0.351054962696455,-2.0943951023932,-2.09208450260267,-0.002402647872041,0.001989112297589,-0.002310599790528,8.2188293337822,-35.8184516429901,-2.88265943527222
5.1,5.98763779820455,7.18277420263057,3.13109543423459,4.56746395398154,3.76808262730775,1,0.99710567475897,-0.349065850398866,-0.350049230608639,-2.0943951023932,-2.09248397324953,0.00289432524103,0.000983380209773,-0.001911129143663,7.06343203783035,-39.9371564388275,-5.533791705966
5.2,5.41065719521366,7.11247857021556,3.58645256196586,4.17479221424789,3.04686601860994,1,1.00024455749969,-0.349065850398866,-0.350886276696813,-2.0943951023932,-2.09375281071986,-0.000244557499691,0.001820426297947,-0.000642291673336,9.38030406832695,-35.4204416275024,-2.07121782004833
5.3,4.81755125522978,6.97281690865976,4.01104651703545,3.74410394011826,2.33976542162131,1,0.998233473431255,-0.349065850398866,-0.350120589610833,-2.0943951023932,-2.0936099335855,0.001766526568745,0.001054739211967,-0.000785168807693,8.90586078166962,-37.0459139347076,-3.12521681189537
5.4,4.22066922751196,6.76728014334993,4.40234040463121,3.28486857311204,1.66145913893694,1,1.00069578647749,-0.349065850398866,-0.349999503318583,-2.0943951023932,-2.09369078660686,-0.000695786477494,0.000933652919717,-0.000704315786339,10.4419760406017,-37.3722612857819,-1.22461449354887
5.5,3.63154441224143,6.50003239354666,4.75805817271877,2.80674336749764,1.02536328305155,1,0.999144756885285,-0.349065850398866,-0.350408564507763,-2.0943951023932,-2.09302226846267,0.000855243114715,0.001342714108897,-0.001372833930521,10.1935662329197,-34.1458380222321,-2.15355437248945
5.6,3.06068351655316,6.17584704895762,5.0761991866654,2.31940977364162,0.443388948557501,1,1.00021847464085,-0.349065850398866,-0.349596670427804,-2.0943951023932,-2.09297654674188,-0.000218474640848,0.000530820028938,-0.001418555651319,11.3198652863503,-36.9417369365692,-1.14757372066379
5.7,2.51738649883913,5.80003645699456,5.35505067945254,1.83241188742432,-0.074263334904902,1,1.00013400710937,-0.349065850398866,-0.35011258798112,-2.0943951023932,-2.09312829913953,-0.000134007109365,0.001046737582255,-0.001266803253661,11.6240464150906,-34.5484972000122,0.476372195407748
5.8,2.00960007345016,5.37837620347758,5.59319799500667,1.354999548168,-0.519268376618545,1,0.997233949653455,-0.349065850398866,-0.34999583755033,-2.0943951023932,-2.09258368544247,0.002766050346545,0.000929987151464,-0.001811416950721,11.5110844373703,-33.6782217025757,-1.68609973043203
5.9,1.54380723654902,4.91702502624419,5.78953255923899,0.895978570415155,-0.885297743184134,1,0.998926924513393,-0.349065850398866,-0.349540577641498,-2.0943951023932,-2.09353301529876,0.001073075486607,0.000474727242632,-0.000862087094431,12.9350319504738,-34.7711324691772,1.54396630823612
6,1.12495432253483,4.42244144365858,5.94325753088096,0.463570458561351,-1.16809618848502,1,1.00073864249756,-0.349065850398866,-0.349770740712905,-2.0943951023932,-2.09348482739221,-0.000738642497561,0.00070489031404,-0.000910275000984,13.4063079953194,-33.6665600538254,0.135667331051081
6.1,0.756416228580957,3.90129820797134,6.05389110199948,0.065283780194152,-1.36551243124978,1,0.999553236478776,-0.349065850398866,-0.34982891217636,-2.0943951023932,-2.09395768500635,0.000446763521224,0.000763061777494,-0.00043741738684,13.1583720445633,-35.2911770343781,0.788416620343924
6.2,0.439999572101042,3.360395706629,6.12126743603415,-0.292200832996286,-1.47748458361939,1,0.997267036722087,-0.349065850398866,-0.350819133103496,-2.0943951023932,-2.0945359182809,0.002732963277913,0.001753282704631,0.000140815887708,13.1994888186455,-32.0883393287659,2.02327389270067
6.3,0.175982691912192,2.80657543294877,6.14553524918121,-0.603130325171074,-1.50598147955649,1,1.00050859561352,-0.349065850398866,-0.350608191195259,-2.0943951023932,-2.09434340266593,-0.000508595613518,0.001542340796393,-5.16997272632658E-05,14.6370455622673,-32.2771489620209,0.664782896637917
6.4,-0.03680941256253,2.24663463122792,6.12715405881458,-0.86276202922387,-1.45490205569266,1,0.995697542844597,-0.349065850398866,-0.350365024508107,-2.0943951023932,-2.09464035703548,0.004302457155403,0.001299174109241,0.000245254642286,13.1502628326416,-31.7958891391754,1.89944766461849
